HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.uid,Input.url,Input.screenshot,Input.title,Input.description,Input.class,Input.bin,Answer.taskAnswers,Approve,Reject
3U74KRR67M668DZKK1B6TSTOB6QTNJ,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,3I7DHKZYGOLVL387BJFW7RATPWO5FS,A29VL3MZE7YPBZ,Approved,Thu Jun 03 08:04:30 PDT 2021,Thu Jun 03 08:04:55 PDT 2021,Sun Jun 06 08:04:55 PDT 2021,Sun Jun 06 08:05:07 PDT 2021,,,25,100% (27/27),0% (0/0),0% (0/0),1161124,www.pointlesssites.com,1161124.jpeg,PointlessSites.com  Fun Things To Do When You're Bored,"Are you bored? Want something fun to do? Check out these funny websites, pointless facts and stupid pictures brought to you by Pointless Sites!",2,3,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""YES"",""category-3"":""YES"",""category-4"":""NO"",""category-5"":""YES"",""category-6"":""YES"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3U74KRR67M668DZKK1B6TSTOB6QTNJ,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,3JMSRU9HQJFKDJNQMZD3T7JSQK4EVL,AMG9Y1YLBTKIV,Approved,Thu Jun 03 10:54:05 PDT 2021,Thu Jun 03 10:54:52 PDT 2021,Sun Jun 06 10:54:52 PDT 2021,Sun Jun 06 10:55:07 PDT 2021,,,47,100% (424/424),0% (0/0),0% (0/0),1161124,www.pointlesssites.com,1161124.jpeg,PointlessSites.com  Fun Things To Do When You're Bored,"Are you bored? Want something fun to do? Check out these funny websites, pointless facts and stupid pictures brought to you by Pointless Sites!",2,3,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""YES"",""category-4"":""NO"",""category-5"":""YES"",""category-6"":""YES"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3U74KRR67M668DZKK1B6TSTOB6QTNJ,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,33LKR6A5KF56GQPP5GI9L5CD4SA1T3,A2TUNPP2GOQ1N3,Approved,Thu Jun 03 19:27:48 PDT 2021,Thu Jun 03 19:31:07 PDT 2021,Sun Jun 06 19:31:07 PDT 2021,Sun Jun 06 19:31:21 PDT 2021,,,199,100% (92/92),0% (0/0),0% (0/0),1161124,www.pointlesssites.com,1161124.jpeg,PointlessSites.com  Fun Things To Do When You're Bored,"Are you bored? Want something fun to do? Check out these funny websites, pointless facts and stupid pictures brought to you by Pointless Sites!",2,3,"[{""category-0"":""YES"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""YES"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3ZURAPD2888TB1AUKU8JFH1KHWE1FC,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,3OVHNO1VE7MWUXE0R1RM8VE3EI4DZK,A2FUMA4UR6S920,Approved,Thu Jun 03 06:09:28 PDT 2021,Thu Jun 03 06:09:56 PDT 2021,Sun Jun 06 06:09:56 PDT 2021,Sun Jun 06 06:10:07 PDT 2021,,,28,100% (8/8),0% (0/0),0% (0/0),1081241,www.connecticutplastics.com,1081241.jpeg,"Medical Manufacturing  Orthopaedic, Medical, Surgical  MW Life Sciences","MW Life Sciences offers advanced medical manufacturing and regulatory support for orthopaedics, medical, and surgical components & products.",1,3,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""YES"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""YES"",""category-3"":""NO"",""category-4"":""YES"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3ZURAPD2888TB1AUKU8JFH1KHWE1FC,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,3OVR4I9USQ4AG9UGBU7GEY8TW3UQ4W,AMG9Y1YLBTKIV,Approved,Thu Jun 03 10:45:21 PDT 2021,Thu Jun 03 10:45:58 PDT 2021,Sun Jun 06 10:45:58 PDT 2021,Sun Jun 06 10:46:07 PDT 2021,,,37,100% (424/424),0% (0/0),0% (0/0),1081241,www.connecticutplastics.com,1081241.jpeg,"Medical Manufacturing  Orthopaedic, Medical, Surgical  MW Life Sciences","MW Life Sciences offers advanced medical manufacturing and regulatory support for orthopaedics, medical, and surgical components & products.",1,3,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""YES"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3ZURAPD2888TB1AUKU8JFH1KHWE1FC,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:31 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:31 PDT 2021,,,352YTHGROWYX3GVDS4KM5KGS5H8H43,AKSJ3C5O3V9RB,Approved,Thu Jun 03 15:29:42 PDT 2021,Thu Jun 03 15:37:52 PDT 2021,Sun Jun 06 15:37:52 PDT 2021,Sun Jun 06 15:38:11 PDT 2021,,,490,100% (362/362),0% (0/0),0% (0/0),1081241,www.connecticutplastics.com,1081241.jpeg,"Medical Manufacturing  Orthopaedic, Medical, Surgical  MW Life Sciences","MW Life Sciences offers advanced medical manufacturing and regulatory support for orthopaedics, medical, and surgical components & products.",1,3,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""YES"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""YES"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
38B7Q9C28GQFHDKENEK80H6QM9Z69N,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,3GA6AFUKOP9CLKC9SQF3VFOMRFYH30,A2U83S62P8SZ6T,Approved,Thu Jun 03 06:12:07 PDT 2021,Thu Jun 03 06:12:46 PDT 2021,Sun Jun 06 06:12:46 PDT 2021,Sun Jun 06 06:13:07 PDT 2021,,,39,100% (19/19),0% (0/0),0% (0/0),1162420,99percentinvisible.org,1162420.jpeg,99% Invisible,,7,1,"[{""category-0"":""NO"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""YES"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""YES"",""category-7"":""NO"",""category-8"":""YES"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
38B7Q9C28GQFHDKENEK80H6QM9Z69N,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,3634BBTX0PF7XR3MI3YQW0EYUIJIF4,A2CJFO19NY4T5R,Approved,Thu Jun 03 06:24:27 PDT 2021,Thu Jun 03 06:35:38 PDT 2021,Sun Jun 06 06:35:38 PDT 2021,Sun Jun 06 06:36:07 PDT 2021,,,671,100% (107/107),0% (0/0),0% (0/0),1162420,99percentinvisible.org,1162420.jpeg,99% Invisible,,7,1,"[{""category-0"":""YES"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
38B7Q9C28GQFHDKENEK80H6QM9Z69N,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,3FTOP5WARG9CVY82X3055U6U1XNJ0L,A1965LD689F8U1,Approved,Thu Jun 03 14:09:32 PDT 2021,Thu Jun 03 14:10:03 PDT 2021,Sun Jun 06 14:10:03 PDT 2021,Sun Jun 06 14:10:08 PDT 2021,,,31,100% (9/9),0% (0/0),0% (0/0),1162420,99percentinvisible.org,1162420.jpeg,99% Invisible,,7,1,"[{""category-0"":""YES"",""category-1"":""NO"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""YES"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""NO"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""YES"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
3SU800BH86D6BNR10YTX2IAVZVKQUU,3WIABKGAUQLG11JEPH5ADA0NHT8E66,Select all categories that are relevant for the website (English websites),"Given a screenshot, title, and description of a website, select all the relevant categories.","categorize, websites, topic",$0.10,Thu Jun 03 06:06:21 PDT 2021,3,BatchId:4464614;OriginalHitTemplateId:928390873;,3600,259200,Sun Jun 06 06:06:21 PDT 2021,,,3R6BYFZZP8X4NMSHHPYRZA1DIVLXFH,AKSJ3C5O3V9RB,Approved,Thu Jun 03 06:06:38 PDT 2021,Thu Jun 03 06:12:44 PDT 2021,Sun Jun 06 06:12:44 PDT 2021,Sun Jun 06 06:13:07 PDT 2021,,,366,100% (362/362),0% (0/0),0% (0/0),1146040,www.medicaid.gov,1146040.jpeg,Medicaid.gov the official U.S. government site for Medicare  Medicaid,,5,1,"[{""category-0"":""NO"",""category-1"":""YES"",""category-10"":""NO"",""category-11"":""NO"",""category-12"":""NO"",""category-13"":""NO"",""category-2"":""NO"",""category-3"":""NO"",""category-4"":""YES"",""category-5"":""NO"",""category-6"":""NO"",""category-7"":""NO"",""category-8"":""NO"",""category-9"":""NO"",""offline"":{""on"":false}}]",,
